Date,Open,High,Low,Close,Adj Close,Volume
2023-12-28,62.619998931884766,63.5,62.45000076293945,63.08000183105469,63.08000183105469,11233400
2023-12-29,63.0,63.15999984741211,61.150001525878906,61.40999984741211,61.40999984741211,16779000
2024-01-02,61.220001220703125,62.15999984741211,60.43000030517578,61.459999084472656,61.459999084472656,15248400
2024-01-03,60.70000076293945,60.75,58.349998474121094,58.630001068115234,58.630001068115234,21245800
2024-01-04,58.02000045776367,59.064998626708984,57.439998626708984,58.45000076293945,58.45000076293945,16680400
2024-01-05,57.7400016784668,60.369998931884766,57.63999938964844,60.119998931884766,60.119998931884766,17413600
2024-01-08,60.400001525878906,61.91999816894531,60.060001373291016,61.7400016784668,61.7400016784668,14264400
2024-01-09,60.279998779296875,62.02000045776367,60.119998931884766,61.04999923706055,61.04999923706055,14877300
2024-01-10,60.95000076293945,61.43000030517578,60.290000915527344,60.959999084472656,60.959999084472656,10137900
2024-01-11,60.650001525878906,61.494998931884766,60.08000183105469,61.349998474121094,61.349998474121094,11900700
2024-01-12,61.79999923706055,61.90800094604492,60.7400016784668,61.0,61.0,9275600
