Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,2092.0,2129.0,2059.0,2105.0,2094.048095703125,1077916
2023-11-03,2106.0,2149.35009765625,2093.0,2124.0,2112.94921875,1305496
2023-11-06,2127.0,2142.0,2105.0,2106.0,2095.04296875,3882398
2023-11-07,2190.0,2276.0,2176.81005859375,2250.0,2238.293701171875,3014438
2023-11-08,2241.0,2342.0,2229.0,2307.0,2294.997314453125,2911333
2023-11-09,2303.0,2341.0,2295.0,2335.0,2322.8515625,1614894
2023-11-10,2323.0,2352.0,2302.0,2330.0,2317.87744140625,1349625
2023-11-13,2325.0,2343.0,2303.0,2343.0,2330.809814453125,4520437
2023-11-14,2348.0,2358.0,2320.0,2336.0,2323.846435546875,1655833
2023-11-15,2345.0,2383.0,2312.0,2356.0,2343.7421875,1527596
2023-11-16,2357.0,2374.0,2349.0,2354.0,2341.752685546875,871507
2023-11-17,2360.0,2389.0,2341.0,2380.0,2367.617431640625,1810707
2023-11-20,2377.0,2396.0,2339.0,2344.0,2331.8046875,1195151
2023-11-21,2342.0,2370.0,2325.0,2360.0,2347.721435546875,964043
2023-11-22,2366.0,2374.0,2347.0,2370.0,2357.66943359375,1114430
2023-11-23,2367.0,2382.0,2358.0,2372.0,2359.658935546875,1387700
2023-11-24,2362.0,2377.389892578125,2345.0,2372.0,2359.658935546875,595348
2023-11-27,2370.0,2397.0,2355.0,2378.0,2365.6279296875,1689445
2023-11-28,2371.0,2390.0,2357.0,2373.0,2360.65380859375,1058386
2023-11-29,2370.0,2403.0,2364.0,2388.0,2375.57568359375,1238939
2023-11-30,2366.0,2380.0,2355.0,2378.0,2365.6279296875,1703344
2023-12-01,2386.0,2401.44189453125,2377.52001953125,2385.0,2372.59130859375,944642
2023-12-04,2387.0,2406.0,2370.0,2392.0,2379.554931640625,907970
2023-12-05,2384.0,2407.0,2368.0,2404.0,2391.492431640625,592756
2023-12-06,2413.0,2430.0,2389.0,2425.0,2412.38330078125,798443
2023-12-07,2425.0,2438.0,2410.0,2429.0,2416.362548828125,1089382
2023-12-08,2438.0,2454.0,2414.0,2422.0,2409.39892578125,1381908
2023-12-11,2424.0,2460.0,2418.0,2455.0,2442.227294921875,1072017
2023-12-12,2460.0,2485.0,2444.0,2444.0,2431.284423828125,1166846
2023-12-13,2450.0,2480.0,2429.0,2441.0,2428.300048828125,1367210
2023-12-14,2426.0,2456.0,2377.0,2390.0,2390.0,1942502
2023-12-15,2378.0,2405.0,2365.0,2370.0,2370.0,2294441
2023-12-18,2361.0,2374.0,2345.0,2359.0,2359.0,1082774
2023-12-19,2365.0,2382.0,2344.0,2379.0,2379.0,695720
2023-12-20,2400.0,2412.0,2362.0,2377.0,2377.0,1394920
2023-12-21,2373.0,2385.0,2362.719970703125,2375.0,2375.0,527181
2023-12-22,2365.0,2378.0,2348.0,2366.0,2366.0,378763
2023-12-27,2367.0,2391.0,2351.0,2372.0,2372.0,608069
2023-12-28,2377.0,2380.0,2368.0,2369.0,2369.0,418982
2023-12-29,2374.0,2383.0,2361.0,2367.0,2367.0,229960
2024-01-02,2375.0,2382.239990234375,2365.0,2371.0,2371.0,680562
2024-01-03,2363.0,2381.0,2360.0,2370.0,2370.0,682178
2024-01-04,2357.0,2412.0,2357.0,2374.0,2374.0,862158
2024-01-05,2360.0,2360.0,2331.0,2346.0,2346.0,1728092
2024-01-08,2342.0,2364.0,2328.0,2363.0,2363.0,828150
2024-01-09,2373.0,2373.0,2340.0,2350.0,2350.0,681874
2024-01-10,2361.0,2362.0,2328.0,2336.0,2336.0,1029650
2024-01-11,2345.0,2346.0,2254.0,2254.0,2254.0,1868486
2024-01-12,2268.0,2294.0,2265.0,2265.0,2265.0,1702227
